rooms,area,floor,total_floors,address,price
3,90.0,23,27,кошкарбаев 8,55.0
3,85.1,,,,
2,79.83,,,,
3,78.07,,,,
1,39.6,,,,
3,86.03,,,,34.4
4,134.82,,,,
2,62.0,,,,
2,72.2,,,,
2,59.6,,,,
1,43.0,10,12,,19.5
3,74.0,9,13,,41.5
,71.0,,,,11.0
1,39.0,5,5,,9.0
1,32.0,2,10,,
1,50.0,5,14,,
2,48.5,5,5,Туркестанская — Ул.Байтурсынова,
1,54.0,5,9,,
3,65.0,4,12,,
2,57.0,8,12,,
2,64.0,1,5,,
2,90.0,8,9,,
1,38.0,2,5,,
,93.2,,,,1.0
2,65.0,28,32,,
2,61.2,,,,
2,55.0,11,16,,
1,36.0,1,9,,
1,31.0,2,5,,
2,52.0,4,5,,
2,47.0,1,5,,
2,60.0,3,18,,
